rgn_id,year,pressure_score
1,2000,0.153295191
1,2001,0.154419629
1,2002,0.15553516
1,2003,0.156641927
1,2004,0.157740062
1,2005,0.15882971
1,2006,0.160580351
1,2007,0.162309492
1,2008,0.164017666
1,2009,0.165705372
1,2010,0.16737309
1,2011,0.168947251
1,2012,0.170504019
1,2013,0.172043759
1,2014,0.173566847
1,2015,0.175073639
1,2016,0.176415787
1,2017,0.177745271
1,2018,0.179062307
1,2019,0.18036715
1,2020,0.181660013
2,2000,0.023071035
2,2001,0.023334693
2,2002,0.023597858
2,2003,0.023860533
2,2004,0.024122718
2,2005,0.024384417
2,2006,0.024805202
2,2007,0.025224735
2,2008,0.025643021
2,2009,0.026060068
2,2010,0.026475884
2,2011,0.026873266
2,2012,0.027269528
2,2013,0.02766468
2,2014,0.028058724
2,2015,0.028451671
2,2016,0.028806109
2,2017,0.029159657
2,2018,0.02951232
2,2019,0.029864102
2,2020,0.030215008
3,2000,0.085843423
3,2001,0.085819816
3,2002,0.085796206
3,2003,0.08577259
3,2004,0.085748972
3,2005,0.085725347
3,2006,0.086088778
3,2007,0.086451274
3,2008,0.086812838
3,2009,0.087173478
3,2010,0.087533195
3,2011,0.087759432
3,2012,0.087985308
3,2013,0.08821082
3,2014,0.088435974
3,2015,0.088660766
3,2016,0.088721578
3,2017,0.088782365
3,2018,0.088843126
3,2019,0.08890386
3,2020,0.088964568
4,2000,0
4,2001,0
4,2002,0
4,2003,0
4,2004,0
4,2005,0
4,2006,0
4,2007,0
4,2008,0
4,2009,0
4,2010,0
4,2011,0
4,2012,0
4,2013,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
4,2020,0
5,2000,0.02094303
5,2001,0.021267761
5,2002,0.021591745
5,2003,0.021914985
5,2004,0.022237484
5,2005,0.022559248
5,2006,0.022827109
5,2007,0.023094462
5,2008,0.023361307
5,2009,0.023627649
5,2010,0.023893487
5,2011,0.024103312
5,2012,0.024312825
5,2013,0.024522026
5,2014,0.024730917
5,2015,0.024939499
5,2016,0.025099552
5,2017,0.025259425
5,2018,0.025419116
5,2019,0.025578626
5,2020,0.025737956
6,2000,0.39709603
6,2001,0.400393315
6,2002,0.403615166
6,2003,0.406764958
6,2004,0.409845841
6,2005,0.412860769
6,2006,0.419105005
6,2007,0.422278099
6,2008,0.425381273
6,2009,0.428417542
6,2010,0.431389731
6,2011,0.437381734
6,2012,0.440357298
6,2013,0.44327129
6,2014,0.446126212
6,2015,0.451829507
6,2016,0.454653434
6,2017,0.45742185
6,2018,0.46013689
6,2019,0.462800581
6,2020,0.465414826
7,2000,0.478694885
7,2001,0.48038462
7,2002,0.48370611
7,2003,0.486951067
7,2004,0.490122939
7,2005,0.491485241
7,2006,0.492671101
7,2007,0.49377191
7,2008,0.494789574
7,2009,0.495725824
7,2010,0.496582227
7,2011,0.497312617
7,2012,0.497967611
7,2013,0.498548239
7,2014,0.499055407
7,2015,0.499489896
7,2016,0.499737668
7,2017,0.499917782
7,2018,0.502119408
7,2019,0.504287146
7,2020,0.504331267
8,2000,0.434769886
8,2001,0.419999866
8,2002,0.421009423
8,2003,0.404207543
8,2004,0.405195802
8,2005,0.385773589
8,2006,0.386519082
8,2007,0.363373106
8,2008,0.335304191
8,2009,0.336015467
8,2010,0.300440887
8,2011,0.301475639
8,2012,0.302502844
8,2013,0.254351581
8,2014,0.255308756
8,2015,0.179796992
8,2016,0.117772244
8,2017,0.118707404
8,2018,0.119636393
8,2019,0.120559296
8,2020,0.121476188
9,2000,1
9,2001,1
9,2002,0.999906288
9,2003,0.990022623
9,2004,0.977155354
9,2005,0.965858634
9,2006,0.953867035
9,2007,0.940963774
9,2008,0.923595613
9,2009,0.907966148
9,2010,0.890676488
9,2011,0.87264557
9,2012,0.846185064
9,2013,0.820708476
9,2014,0.789516959
9,2015,0.749304671
9,2016,0.750526316
9,2017,0.751737456
9,2018,0.752938269
9,2019,0.754128929
9,2020,0
10,2000,0.988867276
10,2001,0.990036094
10,2002,0.991195294
10,2003,0.992345021
10,2004,0.993485454
10,2005,0.994616711
10,2006,0.995265042
10,2007,0.995910397
10,2008,0.996552806
10,2009,0.99719231
10,2010,0.997828908
10,2011,0.999232665
10,2012,1
10,2013,1
10,2014,1
10,2015,1
10,2016,1
10,2017,1
10,2018,1
10,2019,1
10,2020,1
11,2000,0.995222701
11,2001,0.989789313
11,2002,0.989446027
11,2003,0.989101903
11,2004,0.988756932
11,2005,0.988411114
11,2006,0.981109459
11,2007,0.981025005
11,2008,0.980940506
11,2009,0.980855947
11,2010,0.973164189
11,2011,0.973191978
11,2012,0.973219766
11,2013,0.965205911
11,2014,0.965233686
11,2015,0.965261458
11,2016,0.965148096
11,2017,0.956505895
11,2018,0.956392366
11,2019,0.956278745
11,2020,0.956165032
12,2000,0
12,2001,0
12,2002,0
12,2003,0
12,2004,0
12,2005,0
12,2006,0
12,2007,0
12,2008,0
12,2009,0
12,2010,0
12,2011,0
12,2012,0
12,2013,0
12,2014,0
12,2015,0
12,2016,0
12,2017,0
12,2018,0
12,2019,0
12,2020,0
13,2000,0.583295623
13,2001,0.58045987
13,2002,0.579744172
13,2003,0.579027539
13,2004,0.578040372
13,2005,0.577474393
13,2006,0.565016885
13,2007,0.562621057
13,2008,0.560663252
13,2009,0.558207425
13,2010,0.556193762
13,2011,0.55458585
13,2012,0.55577696
13,2013,0.557399847
13,2014,0.558420893
13,2015,0.559868204
13,2016,0.558049489
13,2017,0.627645114
13,2018,0.628697329
13,2019,0.629741742
13,2020,0.630778468
14,2000,0.711139346
14,2001,0.70889126
14,2002,0.701228027
14,2003,0.697885738
14,2004,0.694401666
14,2005,0.690766797
14,2006,0.686635845
14,2007,0.679813551
14,2008,0.67257596
14,2009,0.667701776
14,2010,0.659659561
14,2011,0.650670971
14,2012,0.647675912
14,2013,0.637810686
14,2014,0.627169604
14,2015,0.619640978
14,2016,0.611495202
14,2017,0.598287815
14,2018,0.588733025
14,2019,0.573072558
14,2020,0.567455469
15,2000,0.743636434
15,2001,0.746211579
15,2002,0.745100425
15,2003,0.747584399
15,2004,0.746288021
15,2005,0.748687044
15,2006,0.750724259
15,2007,0.74494466
15,2008,0.742862203
15,2009,0.740631091
15,2010,0.733797366
15,2011,0.731413517
15,2012,0.728839923
15,2013,0.720975019
15,2014,0.717799766
15,2015,0.714386508
15,2016,0.704855384
15,2017,0.70074061
15,2018,0.696306322
15,2019,0.684356194
15,2020,0.678811865
16,2000,0.017462034
16,2001,0.017662552
16,2002,0.017862785
16,2003,0.018062734
16,2004,0.018262399
16,2005,0.018461782
16,2006,0.01878382
16,2007,0.019105122
16,2008,0.019425693
16,2009,0.019745537
16,2010,0.020064655
16,2011,0.020369171
16,2012,0.020673029
16,2013,0.020976234
16,2014,0.021278787
16,2015,0.021580691
16,2016,0.021852379
16,2017,0.022123544
16,2018,0.022394187
16,2019,0.022664312
16,2020,0.022933919
17,2000,0.382022401
17,2001,0.384563456
17,2002,0.387059476
17,2003,0.389512027
17,2004,0.391922599
17,2005,0.394292604
17,2006,0.396540708
17,2007,0.39875349
17,2008,0.39930484
17,2009,0.401448681
17,2010,0.403560376
17,2011,0.405386325
17,2012,0.407188903
17,2013,0.408968701
17,2014,0.410726288
17,2015,0.412462208
17,2016,0.41394528
