rgn_id,year,score,
24,2013,0.887699856,
24,2014,0.884571146,
24,2015,0.881442436,
24,2016,0.878313726,
24,2017,0.875185016,
24,2018,0.872056306,
24,2019,0.868927596,
24,2020,0.865798886,
24,2021,0.862670176,
24,2022,0.859541466,
25,2012,0.886012529,
25,2013,0.882884882,
25,2014,0.879757235,
25,2015,0.865116279,
25,2016,0.865116279,
25,2017,0.607909605,
25,2018,0.607909605,
25,2019,0.607909605,
25,2020,0.659649123,
25,2021,0.659649123,
25,2022,0.907972414,
26,2012,0.823229911,
26,2013,0.82036784,
26,2014,0.817505769,
26,2015,0.814643698,
26,2016,0.811781627,
26,2017,0.808919556,
26,2018,0.806057485,
26,2019,0.803195414,
26,2020,0.800333343,
26,2021,0.797471272,
26,2022,0.794609201,
28,2012,0.813462294,
28,2013,0.811557039,
28,2014,0.809651784,
28,2015,0.807746529,
28,2016,0.805841273,
28,2017,0.803936018,
28,2018,0.802030763,
28,2019,0.800125507,
28,2020,0.798220252,
28,2021,0.796314997,
28,2022,0.794409741,
29,2012,0.817435159,
29,2013,0.815616139,
29,2014,0.81379712,
29,2015,0.8119781,
29,2016,0.810159081,
29,2017,0.808340061,
29,2018,0.806521042,
29,2019,0.804702022,
29,2020,0.802883002,
29,2021,0.801063983,
29,2022,0.799244963,
30,2012,0.818288425,
30,2013,0.816372034,
30,2014,0.814455643,
30,2015,0.812539252,
30,2016,0.810622861,
30,2017,0.808706469,
30,2018,0.806790078,
30,2019,0.804873687,
30,2020,0.802957296,
30,2021,0.801040905,
30,2022,0.799124514,
31,2012,0.812350999,
31,2013,0.809896054,
31,2014,0.807441109,
31,2015,0.804986164,
31,2016,0.802531219,
31,2017,0.800076274,
31,2018,0.797621329,
31,2019,0.795166384,
31,2020,0.792711439,
31,2021,0.790256494,
31,2022,0.787801549,
32,2012,0.765873778,
32,2013,0.763518016,
32,2014,0.761162254,
32,2015,0.758806492,
32,2016,0.75645073,
32,2017,0.754094969,
32,2018,0.751739207,
32,2019,0.749383445,
32,2020,0.747027683,
32,2021,0.744671921,
32,2022,0.742316159,
33,2012,0.802849931,
33,2013,0.801184163,
33,2014,0.799518395,
33,2015,0.797852627,
33,2016,0.796186859,
33,2017,0.794521091,
33,2018,0.792855323,
33,2019,0.791189555,
33,2020,0.789523787,
33,2021,0.787858019,
33,2022,0.786192251,
34,2012,0.780237884,
34,2013,0.778567048,
34,2014,0.776896213,
34,2015,0.775225377,
34,2016,0.773554541,
34,2017,0.771883706,
34,2018,0.77021287,
34,2019,0.768542034,
34,2020,0.766871199,
34,2021,0.765200363,
34,2022,0.763529527,
35,2012,0.779408986,
35,2013,0.777888792,
35,2014,0.776368599,
35,2015,0.774848405,
35,2016,0.773328212,
35,2017,0.771808018,
35,2018,0.770287825,
35,2019,0.768767631,
35,2020,0.767247438,
35,2021,0.765727244,
35,2022,0.764207051,
36,2012,0.760606371,
36,2013,0.758155464,
36,2014,0.755704557,
36,2015,0.75325365,
36,2016,0.750802742,
36,2017,0.748351835,
36,2018,0.745900928,
36,2019,0.743450021,
36,2020,0.740999114,
36,2021,0.738548206,
36,2022,0.736097299,
37,2012,0.775224557,
37,2013,0.772755565,
37,2014,0.770286573,
37,2015,0.767817582,
37,2016,0.76534859,
37,2017,0.762879599,
37,2018,0.760410607,
37,2019,0.757941616,
37,2020,0.755472624,
37,2021,0.753003632,
37,2022,0.750534641,
38,2012,0.807558941,
38,2013,0.805423268,
38,2014,0.803287594,
38,2015,0.80115192,
38,2016,0.799016246,
38,2017,0.796880572,
38,2018,0.794744898,
38,2019,0.792609224,
38,2020,0.79047355,
38,2021,0.788337876,
38,2022,0.786202202,
39,2012,0.819743223,
39,2013,0.817302547,
39,2014,0.81486187,
39,2015,0.812421194,
39,2016,0.809980517,
39,2017,0.807539841,
39,2018,0.805099164,
39,2019,0.802658488,
39,2020,0.800217811,
39,2021,0.797777135,
39,2022,0.795336458,
40,2012,0.835824505,
40,2013,0.832911833,
40,2014,0.829999162,
40,2015,0.827086491,
40,2016,0.82417382,
40,2017,0.821261148,
40,2018,0.818348477,
40,2019,0.815435806,
40,2020,0.812523134,
40,2021,0.809610463,
40,2022,0.806697792,
41,2012,0.858813009,
41,2013,0.856760001,
41,2014,0.854706993,
41,2015,0.852653984,
41,2016,0.850600976,
41,2017,0.848547968,
41,2018,0.84649496,
41,2019,0.844441952,
41,2020,0.842388944,
41,2021,0.840335936,
41,2022,0.838282928,
42,2012,0.83807388,
42,2013,0.836167138,
42,2014,0.834260396,
42,2015,0.832353654,
42,2016,0.830446913,
42,2017,0.828540171,
42,2018,0.826633429,
42,2019,0.824726687,
42,2020,0.822819945,
42,2021,0.820913204,
42,2022,0.819006462,
43,2012,0.858042111,
43,2013,0.855597987,
43,2014,0.853153863,
43,2015,0.850709738,
43,2016,0.848265614,
43,2017,0.84582149,
43,2018,0.843377366,
43,2019,0.840933241,
43,2020,0.838489117,
43,2021,0.836044993,
43,2022,0.833600869,
44,2012,0.846629918,
44,2013,0.843953483,
44,2014,0.841277047,
44,2015,0.838600611,
44,2016,0.835924176,
44,2017,0.83324774,
44,2018,0.830571305,
44,2019,0.827894869,
44,2020,0.825218434,
44,2021,0.822541998,
44,2022,0.819865563,
45,2012,0.894258144,
45,2013,0.891172317,
45,2014,0.888086491,
45,2015,0.885000664,
45,2016,0.881914838,
45,2017,0.878829011,
45,2018,0.875743185,
45,2019,0.872657358,
45,2020,0.869571532,
45,2021,0.866485705,
45,2022,0.863399878,
46,2012,0.901416113,
46,2013,0.899280085,
46,2014,0.897144056,
46,2015,0.895008028,
46,2016,0.892871999,
46,2017,0.890735971,
46,2018,0.888599942,
46,2019,0.886463914,
46,2020,0.884327885,
46,2021,0.882191857,
46,2022,0.880055828,
47,2012,0.856226009,
47,2013,0.85315538,
47,2014,0.85008475,
47,2015,0.847014121,
47,2016,0.843943492,
47,2017,0.840872862,
47,2018,0.837802233,
47,2019,0.834731603,
47,2020,0.831660974,
47,2021,0.828590344,
47,2022,0.825519715,
48,2012,0.836104944,
48,2013,0.832809749,
48,2014,0.829514554,
48,2015,0.826219359,
48,2016,0.822924165,
48,2017,0.81962897,
48,2018,0.816333775,
48,2019,0.81303858,
48,2020,0.809743385,
48,2021,0.80644819,
48,2022,0.803152995,
49,2012,0.883031534,
49,2013,0.879279631,
49,2014,0.875527728,
49,2015,0.871775825,
49,2016,0.868023922,
49,2017,0.864272019,
49,2018,0.860520116,
49,2019,0.856768213,
49,2020,0.85301631,
49,2021,0.849264407,
49,2022,0.845512504,
50,2012,0.881734402,
50,2013,0.878160616,
50,2014,0.874586831,
50,2015,0.871013045,
50,2016,0.867439259,
50,2017,0.863865474,
50,2018,0.860291688,
50,2019,0.856717902,
50,2020,0.853144116,
50,2021,0.849570331,
50,2022,0.845996545,
51,2012,0.864219302,
51,2013,0.860675735,
51,2014,0.857132169,
51,2015,0.853588602,
51,2016,0.850045036,
51,2017,0.846501469,
51,2018,0.842957903,
51,2019,0.839414336,
51,2020,0.83587077,
51,2021,0.832327204,
51,2022,0.828783637,
52,2012,0.866234956,
52,2013,0.862217268,
52,2014,0.858199581,
52,2015,0.854181893,
52,2016,0.850164206,
52,2017,0.846146518,
52,2018,0.842128831,
52,2019,0.838111143,
52,2020,0.834093456,
52,2021,0.830075769,
52,2022,0.826058081,
53,2012,0.813980783,
53,2013,0.809999896,
53,2014,0.806019009,
53,2015,0.802038123,
53,2016,0.798057236,
53,2017,0.79407635,
53,2018,0.790095463,
53,2019,0.786114577,
53,2020,0.78213369,
53,2021,0.778152803,
53,2022,0.774171917,
54,2012,0.872112453,
54,2013,0.868012712,
54,2014,0.863912972,
54,2015,0.859813232,
54,2016,0.855713492,
54,2017,0.851613751,
54,2018,0.847514011,
54,2019,0.843414271,
54,2020,0.839314531,
54,2021,0.83521479,
54,2022,0.83111505,
55,2012,0.732716992,
55,2013,0.729059687,
55,2014,0.725402383,
55,2015,0.721745078,
55,2016,0.718087774,
55,2017,0.714430469,
55,2018,0.710773165,
55,2019,0.707115861,
55,2020,0.703458556,
55,2021,0.699801252,
55,2022,0.696143947,
56,2012,0.777588857,
56,2013,0.775167493,
56,2014,0.772746128,
56,2015,0.770324764,
56,2016,0.7679034,
56,2017,0.765482035,
56,2018,0.763060671,
56,2019,0.760639307,
56,2020,0.758217942,
56,2021,0.755796578,
56,2022,0.753375214,
57,2012,0.773243249,
57,2013,0.769229899,
57,2014,0.765216549,
57,2015,0.761203199,
57,2016,0.757189849,
57,2017,0.753176499,
57,2018,0.749163149,
57,2019,0.745149799,
57,2020,0.741136449,
