rgn_id,year,pressure_score
18,2018,0.020447456
18,2019,0.020745264
18,2020,0.021076353
19,2005,0
19,2006,0
19,2007,0
19,2008,0
19,2009,0
19,2010,0
19,2011,0
19,2012,0
19,2013,0
19,2014,0
19,2015,0
19,2016,0
19,2017,0
19,2018,0
19,2019,0
19,2020,0
20,2005,0.072429757
20,2006,0.062569838
20,2007,0.066167905
20,2008,0.060469903
20,2009,0.054501676
20,2010,0.053547702
20,2011,0.054388491
20,2012,0.055154131
20,2013,0.054422545
20,2014,0.053995934
20,2015,0.052979929
20,2016,0.053411288
20,2017,0.052862585
20,2018,0.053887554
20,2019,0.052752663
20,2020,0.051847649
21,2005,0.094235486
21,2006,0.098983994
21,2007,0.092958921
21,2008,0.092958829
21,2009,0.097645849
21,2010,0.102196884
21,2011,0.108037412
21,2012,0.100552137
21,2013,0.101903635
21,2014,0.098110556
21,2015,0.094906927
21,2016,0.100796594
21,2017,0.099200567
21,2018,0.108906898
21,2019,0.090154974
21,2020,0.082987929
24,2005,0.009196672
24,2006,0.009192793
24,2007,0.009198382
24,2008,0.009183994
24,2009,0.009213026
24,2010,0.009201296
24,2011,0.009182315
24,2012,0.009190714
24,2013,0.009205528
24,2014,0.009197623
24,2015,0.009210432
24,2016,0.009203184
24,2017,0.009209245
24,2018,0.009210587
24,2019,0.009206335
24,2020,0.009217281
25,2005,0.053635005
25,2006,0.053646772
25,2007,0.053707822
25,2008,0.053703264
25,2009,0.053802378
25,2010,0.053873483
25,2011,0.053862604
25,2012,0.053882109
25,2013,0.053874722
25,2014,0.053832852
25,2015,0.238004255
25,2016,0.138676266
25,2017,0.068228656
25,2018,0.129630503
25,2019,0.129630503
25,2020,0.101283693
25,2021,0.19179126
25,2022,0.168391468
26,2005,0.19179126
26,2006,0.168391468
26,2007,0.001356566
26,2008,0.001360721
26,2009,0.001366948
26,2010,0.001374697
26,2011,0.001383147
26,2012,0.001378253
26,2013,0.001377571
26,2014,0.001379488
26,2015,0.001383192
26,2016,0.00137743
26,2017,0.001379206
26,2018,0.001385169
26,2019,0.001394629
26,2020,0.001409193
28,2005,0.000787233
28,2006,0.000787233
28,2007,0.000787233
28,2008,0.000787233
28,2009,0.000787233
28,2010,0.000787233
28,2011,0.000787233
28,2012,0.000787233
28,2013,0.000787233
28,2014,0.000787233
28,2015,0.000787233
28,2016,0.000787233
28,2017,0.000787233
28,2018,0.000787233
28,2019,0.000787233
28,2020,0.000787233
29,2005,0.032496128
29,2006,0.032496128
29,2007,0.032496154
29,2008,0.032496131
29,2009,0.032496114
29,2010,0.032496124
29,2011,0.032496114
29,2012,0.032496106
29,2013,0.032496131
29,2014,0.032496138
29,2015,0.032495958
29,2016,0.032495979
29,2017,0.032498415
29,2018,0.032498318
29,2019,0.032498437
29,2020,0.032498437
30,2005,0
30,2006,0
30,2007,0
30,2008,0
30,2009,0
30,2010,0
30,2011,0
30,2012,0
30,2013,0
30,2014,0
30,2015,0
30,2016,0
30,2017,0
30,2018,0
30,2019,0
30,2020,0
31,2005,0.033084513
31,2006,0.033081837
31,2007,0.033091196
31,2008,0.033086295
31,2009,0.03309075
31,2010,0.033084513
31,2011,0.033093423
31,2012,0.03309741
31,2013,0.033091697
31,2014,0.033096439
31,2015,0.033104087
31,2016,0.033099279
31,2017,0.033144825
31,2018,0.033143609
31,2019,0.033151928
31,2020,0.033143745
32,2005,0
32,2006,0
32,2007,0
32,2008,0
32,2009,0
32,2010,0
32,2011,0
32,2012,0
32,2013,0
32,2014,0
32,2015,0
32,2016,0
32,2017,0
32,2018,0
32,2019,0
32,2020,0
33,2005,0
33,2006,0
33,2007,0
33,2008,0
33,2009,0
33,2010,0
33,2011,0
33,2012,0
33,2013,0
33,2014,0
33,2015,0
33,2016,0
33,2017,0
33,2018,0
33,2019,0
33,2020,0
34,2005,0
34,2006,0
34,2007,0
34,2008,0
34,2009,0
34,2010,0
34,2011,0
34,2012,0
34,2013,0
34,2014,0
34,2015,0
34,2016,0
34,2017,0
34,2018,0
34,2019,0
34,2020,0
35,2005,0
35,2006,0
35,2007,0
35,2008,0
35,2009,0
35,2010,0
35,2011,0
35,2012,0
35,2013,0
35,2014,0
35,2015,0
35,2016,0
35,2017,0
35,2018,0
35,2019,0
35,2020,0
36,2005,0
36,2006,0
36,2007,0
36,2008,0
36,2009,0
36,2010,0
36,2011,0
36,2012,0
36,2013,0
36,2014,0
36,2015,0
36,2016,0
36,2017,0
36,2018,0
36,2019,0
36,2020,0
37,2005,0
37,2006,0
37,2007,0
37,2008,0
37,2009,0
37,2010,0
37,2011,0
37,2012,0
37,2013,0
37,2014,0
37,2015,0
37,2016,0
37,2017,0
37,2018,0
37,2019,0
37,2020,0
38,2005,0
38,2006,0
38,2007,0
38,2008,0
38,2009,0
38,2010,0
38,2011,0
38,2012,0
38,2013,0
38,2014,0
38,2015,0
38,2016,0
38,2017,0
38,2018,0
38,2019,0
38,2020,0
39,2005,0
39,2006,0
39,2007,0
39,2008,0
39,2009,0
39,2010,0
39,2011,0
39,2012,0
39,2013,0
39,2014,0
39,2015,0
39,2016,0
39,2017,0
39,2018,0
39,2019,0
39,2020,0
40,2005,0.080060309
40,2006,0.07853169
40,2007,0.075065163
40,2008,0.086914009
40,2009,0.080104487
40,2010,0.076210826
40,2011,0.086910845
40,2012,0.075745435
40,2013,0.066287742
40,2014,0.091236099
40,2015,0.072077519
40,2016,0.063571864
40,2017,0.061453338
40,2018,0.049939225
40,2019,0.070208421
40,2020,0.093566114
41,2005,0.097663416
41,2006,0.097671513
41,2007,0.097668219
41,2008,0.097684682
41,2009,0.097670869
41,2010,0.097687184
41,2011,0.097680531
41,2012,0.097673995
41,2013,0.097676703
41,2014,0.097680556
41,2015,0.097668266
41,2016,0.09767216
41,2017,0.097676477
41,2018,0.09767666
41,2019,0.097676621
41,2020,0.097688998
42,2005,0.083914085
42,2006,0.083913002
42,2007,0.083913619
42,2008,0.08391412
42,2009,0.083913536
42,2010,0.083913689
42,2011,0.083915174
42,2012,0.083913714
42,2013,0.083914403
42,2014,0.083915044
42,2015,0.083913357
42,2016,0.083913571
42,2017,0.083924658
42,2018,0.083922201
42,2019,0.08391812
42,2020,0.08391575
43,2005,0.223906837
43,2006,0.223908117
43,2007,0.223908658
43,2008,0.223907466
43,2009,0.223909627
43,2010,0.223909857
43,2011,0.2239144
43,2012,0.223918485
43,2013,0.223925731
43,2014,0.223919358
43,2015,0.223913725
43,2016,0.223920974
43,2017,0.223927982
43,2018,0.223921675
43,2019,0.223925798
43,2020,0.223936092
44,2005,0.036025922
44,2006,0.036025927
44,2007,0.03602594
44,2008,0.03602594
44,2009,0.036025946
44,2010,0.036025968
44,2011,0.036025978
44,2012,0.036026042
44,2013,0.036026011
44,2014,0.036026034
44,2015,0.036026011
44,2016,0.036026088
44,2017,0.036026132
44,2018,0.036026112
44,2019,0.036026136
44,2020,0.036026159
45,2005,0.003528892
45,2006,0.003528678
45,2007,0.003528776
45,2008,0.003528677
45,2009,0.003528758
45,2010,0.003528719
45,2011,0.003528761
45,2012,0.003528769
45,2013,0.0035288
45,2014,0.003528818
45,2015,0.003528829
45,2016,0.003528957
45,2017,0.003528935
45,2018,0.00352938
45,2019,0.003529373
45,2020,0.003529191
46,2005,0.00521904
46,2006,0.00521904
46,2007,0.00521904
46,2008,0.00521904
46,2009,0.00521904
46,2010,0.00521904
46,2011,0.00521904
46,2012,0.00521904
46,2013,0.00521904
46,2014,0.00521904
46,2015,0.00521904
46,2016,0.00521904
46,2017,0.00521904
46,2018,0.00521904
46,2019,0.00521904
46,2020,0.00521904
47,2005,0.025413909
47,2006,0.025693344
47,2007,0.026662204
47,2008,0.026135399
47,2009,0.025949401
47,2010,0.026510033
47,2011,0.025955256
47,2012,0.025942213
47,2013,0.02667887
47,2014,0.026495785
47,2015,0.025228408
47,2016,0.026235259
47,2017,0.025927815
47,2018,0.025420814
47,2019,0.025706249
47,2020,0.025707449
48,2005,0.005921445
48,2006,0.005941393
48,2007,0.005891631
48,2008,0.006184362
48,2009,0.005950098
48,2010,0.006045311
48,2011,0.006032294
48,2012,0.006072147
48,2013,0.006167274
48,2014,0.005960591
48,2015,0.006019066
48,2016,0.005986248
48,2017,0.005976852
48,2018,0.006092472
48,2019,0.006092472
48,2020,0.006092472
49,2005,0.018388124
49,2006,0.018399476
49,2007,0.018424801
49,2008,0.018424704
49,2009,0.0184607
49,2010,0.018559389
49,2011,0.018463926
49,2012,0.018362884
49,2013,0.018401596
49,2014,0.018389933
49,2015,0.018439685
49,2016,0.018672425
49,2017,0.018638341
49,2018,0.018636831
49,2019,0.018539596
49,2020,0.018539482
50,2005,0.006284373
50,2006,0.00641814
50,2007,0.006700532
50,2008,0.006005934
50,2009,0.005806009
50,2010,0.005797659
50,2011,0.006198955
50,2012,0.00642101
50,2013,0.006055147
50,2014,0.005968423
50,2015,0.006322743
50,2016,0.006378811
50,2017,0.006127213
50,2018,0.00611888
50,2019,0.006120872
50,2020,0.006120021
51,2005,0.015111523
51,2006,0.015325692
51,2007,0.015069456
51,2008,0.015120821
51,2009,0.015093661
51,2010,0.014764718
51,2011,0.01455045
51,2012,0.015184838
51,2013,0.016541177
51,2014,0.016708928
51,2015,0.01625866
51,2016,0.015899829
51,2017,0.016204719
51,2018,0.016079297
51,2019,0.016204629
51,2020,0.016378058
52,2005,0.00147949
52,2006,0.00147963
52,2007,0.001302696
52,2008,0.001604077
52,2009,0.001341131
52,2010,0.001669783
52,2011,0.00147939
52,2012,0.00147963
52,2013,0.001484303
52,2014,0.001482481
52,2015,0.001481196
52,2016,0.001481251
52,2017,0.001482652
52,2018,0.001483509
52,2019,0.001483509
52,2020,0.001483509
53,2005,0.094384708
53,2006,0.094797098
53,2007,0.09404965
53,2008,0.094868835
53,2009,0.096571084
53,2010,0.095861249
53,2011,0.095241978
53,2012,0.094154587
53,2013,0.095481347
53,2014,0.095200076
53,2015,0.095159785
53,2016,0.095443086
53,2017,0.096200662
53,2018,0.096303931
53,2019,0.096590405
53,2020,0.096773016
54,2005,0.013633031
54,2006,0.01349182
54,2007,0.013685347
54,2008,0.013813267
54,2009,0.012153175
54,2010,0.012697749
54,2011,0.012543588
54,2012,0.01166391
54,2013,0.011231001
54,2014,0.01048881
54,2015,0.010910588
54,2016,0.010904735
54,2017,0.010903058
54,2018,0.010923997
54,2019,0.010923997
54,2020,0.010923997
55,2005,0
55,2006,0
55,2007,0
55,2008,0
55,2009,0
55,2010,0
55,2011,0
55,2012,0
55,2013,0
55,2014,0
55,2015,0
55,2016,0
55,2017,0
55,2018,0
55,2019,0
55,2020,0
56,2005,0
56,2006,0
56,2007,0
56,2008,0
56,2009,0
56,2010,0
56,2011,0
56,2012,0
56,2013,0
56,2014,0
56,2015,0
56,2016,0
56,2017,0
56,2018,0
56,2019,0
56,2020,0
57,2005,0.005629198
57,2006,0.005629198
57,2007,0.005629198
57,2008,0.005629198
57,2009,0.005629198
57,2010,0.005629198
57,2011,0.005629198
57,2012,0.005629198
57,2013,0.005629198
57,2014,0.005629198
57,2015,0.005629268
57,2016,0.005629252
57,2017,0.005629217
57,2018,0.005629198
57,2019,0.005629101
57,2020,0.005629101
58,2005,0.003090722
58,2006,0.003125996
58,2007,0.003135868
58,2008,0.002952106
58,2009,0.002983963
58,2010,0.003104063
58,2011,0.003034183
58,2012,0.003031666
58,2013,0.003119667
58,2014,0.003223273
58,2015,0.003197241
58,2016,0.003133041
58,2017,0.003205829
58,2018,0.003080677
58,2019,0.003063651
58,2020,0.003098532
59,2005,0.18798038
59,2006,0.184872624
59,2007,0.193317428
59,2008,0.182039435
59,2009,0.193905235
59,2010,0.204505431
59,2011,0.201137651
59,2012,0.20065867
59,2013,0.202185665
59,2014,0.207889468
59,2015,0.209086814
59,2016,0.20530657
59,2017,0.205980442
59,2018,0.207156182
59,2019,0.2069203
59,2020,0.20707456
60,2005,0.012524286
60,2006,0.012853842
60,2007,0.012968493
60,2008,0.011215018
60,2009,0.011509696
60,2010,0.012649237
60,2011,0.011976775
60,2012,0.01195221
60,2013,0.0127948
60,2014,0.013797605
60,2015,0.013555285
60,2016,0.012942066
60,2017,0.013635302
60,2018,0.013306805
60,2019,0.013148147
60,2020,0.013308591
61,2005,0.065623675
61,2006,0.065734616
61,2007,0.06581763
61,2008,0.065710862
61,2009,0.066149393
61,2010,0.066375365
61,2011,0.066558407
61,2012,0.066868343
61,2013,0.064377044
61,2014,0.06495123
61,2015,0.065837698
61,2016,0.068109576
61,2017,0.066057807
61,2018,0.066943912
61,2019,0.066943705
61,2020,0.066943705
62,2005,0.199041643
62,2006,0.198638943
62,2007,0.198219207
62,2008,0.197456388
62,2009,0.195435713
62,2010,0.196061475
62,2011,0.196089
62,2012,0.195167908
62,2013,0.196539653
62,2014,0.196389957
62,2015,0.196650162
62,2016,0.193280799
62,2017,0.19685621
62,2018,0.195827668
62,2019,0.195827957
62,2020,0.195828511
63,2005,0.00452429
63,2006,0.00452429
63,2007,0.00452429
63,2008,0.00452429
63,2009,0.00452429
63,2010,0.00452429
63,2011,0.00452429
63,2012,0.00452429
63,2013,0.00452429
63,2014,0.00452429
63,2015,0.004524365
63,2016,0.004524349
63,2017,0.00452431
63,2018,0.00452429
63,2019,0.004524185
63,2020,0.004524185
64,2005,0.023240959
64,2006,0.023240685
64,2007,0.023240647
64,2008,0.023240692
64,2009,0.023241146
64,2010,0.023241386
64,2011,0.02324117
64,2012,0.023241164
64,2013,0.023241236
64,2014,0.023241257
64,2015,0.023240715
64,2016,0.023241662
64,2017,0.023241984
64,2018,0.023241685
64,2019,0.023241559
64,2020,0.023242043
65,2005,0.463211448
65,2006,0.463210414
65,2007,0.46320927
65,2008,0.463204427
65,2009,0.463209824
65,2010,0.463213761
65,2011,0.463219073
65,2012,0.463203352
65,2013,0.463201098
65,2014,0.463200703
65,2015,0.463199341
65,2016,0.463202552
65,2017,0.463203482
65,2018,0.463216447
65,2019,0.463206265
65,2020,0.463203091
66,2005,0.213178874
66,2006,0.213174065
66,2007,0.213173794
66,2008,0.213173501
66,2009,0.213181595
66,2010,0.213185967
66,2011,0.213183117
66,2012,0.213181295
66,2013,0.213181967
66,2014,0.213182019
66,2015,0.21317226
66,2016,0.213188142
66,2017,0.213194123
66,2018,0.21319044
66,2019,0.213187209
66,2020,0.213193882
67,2005,0.016652785
67,2006,0.016652753
67,2007,0.016652709
67,2008,0.016652707
67,2009,0.016652798
67,2010,0.016652814
67,2011,0.016644075
67,2012,0.01668803
67,2013,0.016582138
67,2014,0.015384163
67,2015,0.01507812
67,2016,0.01522648
67,2017,0.016114479
67,2018,0.015173475
67,2019,0.015173475
67,2020,0.015173475
68,2005,0.000147826
68,2006,0.000169032
68,2007,0.000148039
68,2008,0.000105217
68,2009,0.000113022
68,2010,0.000139696
68,2011,0.000120367
68,2012,0.000138834
68,2013,0.000143226
68,2014,0.000148699
68,2015,0.000154024
68,2016,0.00014245
68,2017,0.00014655
68,2018,0.000145587
68,2019,0.000145639
68,2020,0.000145692
69,2005,0.102284437
69,2006,0.103463988
69,2007,0.105765916
69,2008,0.105693
69,2009,0.10890533
69,2010,0.111649295
69,2011,0.113292639
69,2012,0.11502036
69,2013,0.116938542
69,2014,0.118541037
69,2015,0.119382127
69,2016,0.119689611
69,2017,0.120349027
69,2018,0.118525612
69,2019,0.122735586
69,2020,0.12446065
70,2005,0.013421116
70,2006,0.014287797
70,2007,0.015156988
70,2008,0.018663691
70,2009,0.016037555
70,2010,0.016526948
70,2011,0.016981893
70,2012,0.018071007
70,2013,0.018335531
70,2014,0.019093035
70,2015,0.01929502
70,2016,0.019380627
70,2017,0.019689669
70,2018,0.020139974
70,2019,0.021094871
70,2020,0.021170664
71,2005,0.069923707
71,2006,0.058041878
71,2007,0.072685548
71,2008,0.076393455
71,2009,0.094230139
71,2010,0.091976994
71,2011,0.119709958
71,2012,0.085045269
71,2013,0.098133598
71,2014,0.099247946
71,2015,0.108359927
71,2016,0.118343863
71,2017,0.114315645
71,2018,0.111163273
71,2019,0.114767244
71,2020,0.117531703
72,2005,0.15879071
72,2006,0.152842615
72,2007,0.156629548
72,2008,0.15853226
72,2009,0.162243503
72,2010,0.162900734
72,2011,0.168160244
72,2012,0.160705896
72,2013,0.167814198
72,2014,0.164172677
72,2015,0.170667822
72,2016,0.171214622
72,2017,0.173990691
72,2018,0.181403915
72,2019,0.180775474
72,2020,0.182341432
73,2005,0.012932492
73,2006,0.012972144
73,2007,0.013044304
73,2008,0.01312434
73,2009,0.013036128
73,2010,0.013138101
73,2011,0.013112178
73,2012,0.013144842
73,2013,0.013138482
