"rgn_id","habitat","extent_rank","layer"
197,"mangrove",7953.568028,"element_wts_cp_km2_x_protection"
198,"mangrove",7213.051372,"element_wts_cp_km2_x_protection"
199,"mangrove",939.6178304,"element_wts_cp_km2_x_protection"
200,"mangrove",1166.6630308,"element_wts_cp_km2_x_protection"
202,"mangrove",4387.211876,"element_wts_cp_km2_x_protection"
203,"mangrove",13940.575316,"element_wts_cp_km2_x_protection"
204,"mangrove",17831.780756,"element_wts_cp_km2_x_protection"
205,"mangrove",21925.580372,"element_wts_cp_km2_x_protection"
206,"mangrove",21062.808612,"element_wts_cp_km2_x_protection"
207,"mangrove",7590.295708,"element_wts_cp_km2_x_protection"
208,"mangrove",31.437027776,"element_wts_cp_km2_x_protection"
209,"mangrove",834.8277376,"element_wts_cp_km2_x_protection"
210,"mangrove",31.437027776,"element_wts_cp_km2_x_protection"
212,"mangrove",10.47900926,"element_wts_cp_km2_x_protection"
214,"mangrove",10.47900926,"element_wts_cp_km2_x_protection"
216,"mangrove",118482.66468,"element_wts_cp_km2_x_protection"
231,"mangrove",24.451021604,"element_wts_cp_km2_x_protection"
237,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
245,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
247,"mangrove",426.1463764,"element_wts_cp_km2_x_protection"
250,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
25,"mangrove",9760.387584,"element_wts_cp_km2_x_protection"
25,"seagrass",157.384,"element_wts_cp_km2_x_protection"
13,"saltmarsh",0.269091361523594,"element_wts_cp_km2_x_protection"
14,"saltmarsh",175.10192492526,"element_wts_cp_km2_x_protection"
16,"saltmarsh",40861.1669527914,"element_wts_cp_km2_x_protection"
42,"saltmarsh",174.312195909629,"element_wts_cp_km2_x_protection"
54,"saltmarsh",230.852481792447,"element_wts_cp_km2_x_protection"
59,"saltmarsh",11.0303464515828,"element_wts_cp_km2_x_protection"
69,"saltmarsh",10.6638558681663,"element_wts_cp_km2_x_protection"
70,"saltmarsh",119.08374721656,"element_wts_cp_km2_x_protection"
71,"saltmarsh",1.89423402020135,"element_wts_cp_km2_x_protection"
72,"saltmarsh",164.184914980168,"element_wts_cp_km2_x_protection"
73,"saltmarsh",37224.8529682296,"element_wts_cp_km2_x_protection"
76,"saltmarsh",768.89739601278,"element_wts_cp_km2_x_protection"
81,"saltmarsh",58.8410634894003,"element_wts_cp_km2_x_protection"
82,"saltmarsh",233.471244059011,"element_wts_cp_km2_x_protection"
102,"saltmarsh",186.73170386313,"element_wts_cp_km2_x_protection"
116,"saltmarsh",180.963346268275,"element_wts_cp_km2_x_protection"
135,"saltmarsh",8794.26004894995,"element_wts_cp_km2_x_protection"
137,"saltmarsh",38.6085422907456,"element_wts_cp_km2_x_protection"
138,"saltmarsh",985.225033721775,"element_wts_cp_km2_x_protection"
143,"saltmarsh",101.989944025595,"element_wts_cp_km2_x_protection"
151,"saltmarsh",0.0111911447900645,"element_wts_cp_km2_x_protection"
162,"saltmarsh",589.511871514953,"element_wts_cp_km2_x_protection"
163,"saltmarsh",56565.7021201455,"element_wts_cp_km2_x_protection"
171,"saltmarsh",217.649417611015,"element_wts_cp_km2_x_protection"
172,"saltmarsh",3949.38849606207,"element_wts_cp_km2_x_protection"
173,"saltmarsh",141.18722935861,"element_wts_cp_km2_x_protection"
174,"saltmarsh",398.259209485251,"element_wts_cp_km2_x_protection"
175,"saltmarsh",910.69594693455,"element_wts_cp_km2_x_protection"
176,"saltmarsh",640.274936351727,"element_wts_cp_km2_x_protection"
177,"saltmarsh",685.99750226415,"element_wts_cp_km2_x_protection"
179,"saltmarsh",2402.38552584322,"element_wts_cp_km2_x_protection"
180,"saltmarsh",2476.94408626786,"element_wts_cp_km2_x_protection"
181,"saltmarsh",378.016134577818,"element_wts_cp_km2_x_protection"
182,"saltmarsh",2792.11190888231,"element_wts_cp_km2_x_protection"
183,"saltmarsh",839.625283217202,"element_wts_cp_km2_x_protection"
184,"saltmarsh",1439.15691273876,"element_wts_cp_km2_x_protection"
186,"saltmarsh",3.15274429084878,"element_wts_cp_km2_x_protection"
187,"saltmarsh",18.2478537279399,"element_wts_cp_km2_x_protection"
188,"saltmarsh",8.86901431802829,"element_wts_cp_km2_x_protection"
207,"saltmarsh",9.26011793884104,"element_wts_cp_km2_x_protection"
209,"saltmarsh",16417.8692562682,"element_wts_cp_km2_x_protection"
218,"saltmarsh",3559.48537700019,"element_wts_cp_km2_x_protection"
222,"saltmarsh",238.808579121921,"element_wts_cp_km2_x_protection"
224,"saltmarsh",43.8430687630749,"element_wts_cp_km2_x_protection"
5,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
6,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
15,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
18,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
20,"saltmarsh",1.0095554783206,"element_wts_cp_km2_x_protection"
21,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
40,"saltmarsh",3.36518492773533,"element_wts_cp_km2_x_protection"
43,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
44,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
46,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
47,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
48,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
49,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
50,"saltmarsh",4.37474040605592,"element_wts_cp_km2_x_protection"
51,"saltmarsh",1.68259246386767,"element_wts_cp_km2_x_protection"
52,"saltmarsh",1.34607397109413,"element_wts_cp_km2_x_protection"
53,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
58,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
61,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
62,"saltmarsh",1.0095554783206,"element_wts_cp_km2_x_protection"
63,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
64,"saltmarsh",1.0095554783206,"element_wts_cp_km2_x_protection"
65,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
67,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
68,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
74,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
75,"saltmarsh",1.34607397109413,"element_wts_cp_km2_x_protection"
80,"saltmarsh",27.9310349002032,"element_wts_cp_km2_x_protection"
84,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
101,"saltmarsh",1.34607397109413,"element_wts_cp_km2_x_protection"
106,"saltmarsh",0.673036985547066,"element_wts_cp_km2_x_protection"
110,"saltmarsh",0.336518492773533,"element_wts_cp_km2_x_protection"
