"rgn_id","habitat","extent_rank","layer"
194,"mangrove",498236.6335013,"element_wts_cs_km2_x_storage"
195,"mangrove",12299.649793463,"element_wts_cs_km2_x_storage"
196,"mangrove",1962096.5922722,"element_wts_cs_km2_x_storage"
197,"mangrove",460531.1495458,"element_wts_cs_km2_x_storage"
198,"mangrove",414558.6880074,"element_wts_cs_km2_x_storage"
199,"mangrove",54441.07284647,"element_wts_cs_km2_x_storage"
200,"mangrove",66337.45542742,"element_wts_cs_km2_x_storage"
202,"mangrove",256477.9431129,"element_wts_cs_km2_x_storage"
203,"mangrove",809760.5503591,"element_wts_cs_km2_x_storage"
204,"mangrove",1033977.1170713,"element_wts_cs_km2_x_storage"
205,"mangrove",1221698.0015325,"element_wts_cs_km2_x_storage"
206,"mangrove",1211213.0541965,"element_wts_cs_km2_x_storage"
207,"mangrove",434117.1475499,"element_wts_cs_km2_x_storage"
208,"mangrove",1613.0688253457,"element_wts_cs_km2_x_storage"
209,"mangrove",49803.49998454,"element_wts_cs_km2_x_storage"
210,"mangrove",2016.3360316244,"element_wts_cs_km2_x_storage"
212,"mangrove",604.9008095335,"element_wts_cs_km2_x_storage"
214,"mangrove",604.9008095335,"element_wts_cs_km2_x_storage"
216,"mangrove",6724682.298232,"element_wts_cs_km2_x_storage"
231,"mangrove",1613.0688253457,"element_wts_cs_km2_x_storage"
237,"mangrove",403.2672062787,"element_wts_cs_km2_x_storage"
245,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
247,"mangrove",24599.29957769,"element_wts_cs_km2_x_storage"
250,"mangrove",403.2672062787,"element_wts_cs_km2_x_storage"
25,"mangrove",641902,"element_wts_cs_km2_x_storage"
25,"seagrass",22870.74,"element_wts_cs_km2_x_storage"
13,"saltmarsh",21.9488853882745,"element_wts_cs_km2_x_storage"
14,"saltmarsh",14282.4803430703,"element_wts_cs_km2_x_storage"
16,"saltmarsh",3332909.18444935,"element_wts_cs_km2_x_storage"
42,"saltmarsh",14218.0647796954,"element_wts_cs_km2_x_storage"
54,"saltmarsh",18829.8674315373,"element_wts_cs_km2_x_storage"
59,"saltmarsh",899.708592234104,"element_wts_cs_km2_x_storage"
69,"saltmarsh",869.8151769801,"element_wts_cs_km2_x_storage"
70,"saltmarsh",9713.26431463077,"element_wts_cs_km2_x_storage"
71,"saltmarsh",154.506354914424,"element_wts_cs_km2_x_storage"
72,"saltmarsh",13392.0162318824,"element_wts_cs_km2_x_storage"
73,"saltmarsh",3036307.17377526,"element_wts_cs_km2_x_storage"
76,"saltmarsh",62716.3976014424,"element_wts_cs_km2_x_storage"
81,"saltmarsh",4799.46941195208,"element_wts_cs_km2_x_storage"
82,"saltmarsh",19043.4711404133,"element_wts_cs_km2_x_storage"
102,"saltmarsh",15231.0826451027,"element_wts_cs_km2_x_storage"
116,"saltmarsh",14760.576943949,"element_wts_cs_km2_x_storage"
135,"saltmarsh",717318.477992684,"element_wts_cs_km2_x_storage"
137,"saltmarsh",3149.17009951515,"element_wts_cs_km2_x_storage"
138,"saltmarsh",80361.5219172394,"element_wts_cs_km2_x_storage"
143,"saltmarsh",8318.97976768771,"element_wts_cs_km2_x_storage"
151,"saltmarsh",0.912824376709598,"element_wts_cs_km2_x_storage"
162,"saltmarsh",48084.518319903,"element_wts_cs_km2_x_storage"
163,"saltmarsh",4613875.76959987,"element_wts_cs_km2_x_storage"
171,"saltmarsh",17752.9374964718,"element_wts_cs_km2_x_storage"
172,"saltmarsh",322138.454995463,"element_wts_cs_km2_x_storage"
173,"saltmarsh",11516.1716746839,"element_wts_cs_km2_x_storage"
174,"saltmarsh",32484.6761870136,"element_wts_cs_km2_x_storage"
175,"saltmarsh",74282.4327382948,"element_wts_cs_km2_x_storage"
176,"saltmarsh",52225.0923084225,"element_wts_cs_km2_x_storage"
177,"saltmarsh",55954.5296013458,"element_wts_cs_km2_x_storage"
179,"saltmarsh",195954.579391278,"element_wts_cs_km2_x_storage"
180,"saltmarsh",202036.072636582,"element_wts_cs_km2_x_storage"
181,"saltmarsh",30833.5160437307,"element_wts_cs_km2_x_storage"
182,"saltmarsh",227743.261367834,"element_wts_cs_km2_x_storage"
183,"saltmarsh",68485.4356010831,"element_wts_cs_km2_x_storage"
184,"saltmarsh",117387.232182392,"element_wts_cs_km2_x_storage"
186,"saltmarsh",257.158842656899,"element_wts_cs_km2_x_storage"
187,"saltmarsh",1488.41660240896,"element_wts_cs_km2_x_storage"
188,"saltmarsh",723.415934540507,"element_wts_cs_km2_x_storage"
207,"saltmarsh",755.316953211468,"element_wts_cs_km2_x_storage"
209,"saltmarsh",1339150.86900294,"element_wts_cs_km2_x_storage"
218,"saltmarsh",290335.357250649,"element_wts_cs_km2_x_storage"
222,"saltmarsh",19478.819770378,"element_wts_cs_km2_x_storage"
224,"saltmarsh",3576.13297544148,"element_wts_cs_km2_x_storage"
5,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
6,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
15,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
18,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
20,"saltmarsh",82.3460751816835,"element_wts_cs_km2_x_storage"
21,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
40,"saltmarsh",274.486917272278,"element_wts_cs_km2_x_storage"
43,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
44,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
46,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
47,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
48,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
49,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
50,"saltmarsh",356.832992453961,"element_wts_cs_km2_x_storage"
51,"saltmarsh",137.243458636139,"element_wts_cs_km2_x_storage"
52,"saltmarsh",109.794766908911,"element_wts_cs_km2_x_storage"
53,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
58,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
61,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
62,"saltmarsh",82.3460751816835,"element_wts_cs_km2_x_storage"
63,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
64,"saltmarsh",82.3460751816835,"element_wts_cs_km2_x_storage"
65,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
67,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
68,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
74,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
75,"saltmarsh",109.794766908911,"element_wts_cs_km2_x_storage"
80,"saltmarsh",2278.24141335991,"element_wts_cs_km2_x_storage"
84,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
101,"saltmarsh",109.794766908911,"element_wts_cs_km2_x_storage"
106,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
110,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
112,"saltmarsh",82.3460751816835,"element_wts_cs_km2_x_storage"
120,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
129,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
130,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
131,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
139,"saltmarsh",109.794766908911,"element_wts_cs_km2_x_storage"
145,"saltmarsh",137.243458636139,"element_wts_cs_km2_x_storage"
153,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
155,"saltmarsh",54.8973834544557,"element_wts_cs_km2_x_storage"
168,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
178,"saltmarsh",247.038225545051,"element_wts_cs_km2_x_storage"
189,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
190,"saltmarsh",82.3460751816835,"element_wts_cs_km2_x_storage"
191,"saltmarsh",164.692150363367,"element_wts_cs_km2_x_storage"
200,"saltmarsh",109.794766908911,"element_wts_cs_km2_x_storage"
202,"saltmarsh",27.4486917272278,"element_wts_cs_km2_x_storage"
203,"saltmarsh",192.140842090595,"element_wts_cs_km2_x_storage"
210,"saltmarsh",247.038225545051,"element_wts_cs_km2_x_storage"
214,"saltmarsh",192.140842090595,"element_wts_cs_km2_x_storage"
223,"saltmarsh",192.140842090595,"element_wts_cs_km2_x_storage"
5,"tidal flat",19533.8230537414,"element_wts_cs_km2_x_storage"
6,"tidal flat",15928.874036932,"element_wts_cs_km2_x_storage"
8,"tidal flat",2940.35938415528,"element_wts_cs_km2_x_storage"
14,"tidal flat",55382.2584342957,"element_wts_cs_km2_x_storage"
15,"tidal flat",57092.3872303486,"element_wts_cs_km2_x_storage"
16,"tidal flat",724012.289429856,"element_wts_cs_km2_x_storage"
17,"tidal flat",31795.1889465333,"element_wts_cs_km2_x_storage"
18,"tidal flat",45293.3386763573,"element_wts_cs_km2_x_storage"
19,"tidal flat",856.757855400443,"element_wts_cs_km2_x_storage"
20,"tidal flat",289952.336456299,"element_wts_cs_km2_x_storage"
21,"tidal flat",243884.92213893,"element_wts_cs_km2_x_storage"
24,"tidal flat",1301.38866710663,"element_wts_cs_km2_x_storage"
25,"tidal flat",35434.6102394104,"element_wts_cs_km2_x_storage"
28,"tidal flat",3337.78096265793,"element_wts_cs_km2_x_storage"
39,"tidal flat",701.270484113694,"element_wts_cs_km2_x_storage"
41,"tidal flat",252726.113964844,"element_wts_cs_km2_x_storage"
42,"tidal flat",266472.49367981,"element_wts_cs_km2_x_storage"
43,"tidal flat",43282.9103172303,"element_wts_cs_km2_x_storage"
44,"tidal flat",33645.3999488831,"element_wts_cs_km2_x_storage"
45,"tidal flat",53272.9579292298,"element_wts_cs_km2_x_storage"
46,"tidal flat",1546.09926614762,"element_wts_cs_km2_x_storage"
47,"tidal flat",17810.5104858399,"element_wts_cs_km2_x_storage"
48,"tidal flat",20985.7789892674,"element_wts_cs_km2_x_storage"
49,"tidal flat",62555.1225761413,"element_wts_cs_km2_x_storage"
50,"tidal flat",312317.385864258,"element_wts_cs_km2_x_storage"
51,"tidal flat",34118.8458251952,"element_wts_cs_km2_x_storage"
52,"tidal flat",1772.78927392959,"element_wts_cs_km2_x_storage"
53,"tidal flat",147352.014665222,"element_wts_cs_km2_x_storage"
54,"tidal flat",120081.135873413,"element_wts_cs_km2_x_storage"
58,"tidal flat",981.872112131119,"element_wts_cs_km2_x_storage"
59,"tidal flat",3751.57348594665,"element_wts_cs_km2_x_storage"
61,"tidal flat",55256.5032958985,"element_wts_cs_km2_x_storage"
62,"tidal flat",17505.6218009948,"element_wts_cs_km2_x_storage"
63,"tidal flat",10085.1394908905,"element_wts_cs_km2_x_storage"
64,"tidal flat",67695.0659648896,"element_wts_cs_km2_x_storage"
65,"tidal flat",15389.1040229798,"element_wts_cs_km2_x_storage"
66,"tidal flat",35353.5213851929,"element_wts_cs_km2_x_storage"
67,"tidal flat",6789.75387935638,"element_wts_cs_km2_x_storage"
69,"tidal flat",2684.83612089158,"element_wts_cs_km2_x_storage"
70,"tidal flat",16870.89740448,"element_wts_cs_km2_x_storage"
73,"tidal flat",99043.5016161978,"element_wts_cs_km2_x_storage"
76,"tidal flat",13545.611169219,"element_wts_cs_km2_x_storage"
77,"tidal flat",62.7323386050761,"element_wts_cs_km2_x_storage"
78,"tidal flat",80.1385168403387,"element_wts_cs_km2_x_storage"
79,"tidal flat",829.132868632674,"element_wts_cs_km2_x_storage"
80,"tidal flat",15732.4018075541,"element_wts_cs_km2_x_storage"
81,"tidal flat",1946.22125886455,"element_wts_cs_km2_x_storage"
82,"tidal flat",4687.77324145734,"element_wts_cs_km2_x_storage"
84,"tidal flat",1604.40591025352,"element_wts_cs_km2_x_storage"
86,"tidal flat",3022.0166834116,"element_wts_cs_km2_x_storage"
96,"tidal flat",33639.5983032226,"element_wts_cs_km2_x_storage"
97,"tidal flat",12719.046761322,"element_wts_cs_km2_x_storage"
98,"tidal flat",2374.69740233719,"element_wts_cs_km2_x_storage"
99,"tidal flat",4028.82500648499,"element_wts_cs_km2_x_storage"
100,"tidal flat",2052.07659425735,"element_wts_cs_km2_x_storage"
101,"tidal flat",14387.4278594494,"element_wts_cs_km2_x_storage"
102,"tidal flat",29872.0634834289,"element_wts_cs_km2_x_storage"
104,"tidal flat",22556.8290267944,"element_wts_cs_km2_x_storage"
106,"tidal flat",15922.8372270584,"element_wts_cs_km2_x_storage"
108,"tidal flat",1214.69436950684,"element_wts_cs_km2_x_storage"
110,"tidal flat",113437.479656982,"element_wts_cs_km2_x_storage"
111,"tidal flat",34022.7738014221,"element_wts_cs_km2_x_storage"
112,"tidal flat",118814.705083013,"element_wts_cs_km2_x_storage"
113,"tidal flat",3163.71918320656,"element_wts_cs_km2_x_storage"
114,"tidal flat",3986.54917018785,"element_wts_cs_km2_x_storage"
115,"tidal flat",6476.43443832398,"element_wts_cs_km2_x_storage"
116,"tidal flat",2706.13533267975,"element_wts_cs_km2_x_storage"
117,"tidal flat",1191.68083257675,"element_wts_cs_km2_x_storage"
129,"tidal flat",106192.195211792,"element_wts_cs_km2_x_storage"
130,"tidal flat",30885.4718933105,"element_wts_cs_km2_x_storage"
131,"tidal flat",16569.665385437,"element_wts_cs_km2_x_storage"
132,"tidal flat",32983.0898834228,"element_wts_cs_km2_x_storage"
133,"tidal flat",26722.4116012573,"element_wts_cs_km2_x_storage"
134,"tidal flat",6217.02110900879,"element_wts_cs_km2_x_storage"
135,"tidal flat",312889.682471371,"element_wts_cs_km2_x_storage"
136,"tidal flat",6755.19851131439,"element_wts_cs_km2_x_storage"
