"rgn_id","habitat","extent_rank","layer"
5,"mangrove",1351.7921944,"element_wts_cp_km2_x_protection"
6,"mangrove",45.40904012,"element_wts_cp_km2_x_protection"
7,"mangrove",2078.3368364,"element_wts_cp_km2_x_protection"
8,"mangrove",230.53820368,"element_wts_cp_km2_x_protection"
9,"mangrove",363.27232096,"element_wts_cp_km2_x_protection"
11,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
14,"mangrove",10.47900926,"element_wts_cp_km2_x_protection"
15,"mangrove",11401.162072,"element_wts_cp_km2_x_protection"
16,"mangrove",40187.00052,"element_wts_cp_km2_x_protection"
17,"mangrove",18013.416916,"element_wts_cp_km2_x_protection"
18,"mangrove",2004.9837716,"element_wts_cp_km2_x_protection"
24,"mangrove",2434.6231512,"element_wts_cp_km2_x_protection"
26,"mangrove",2361.2700864,"element_wts_cp_km2_x_protection"
28,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
29,"mangrove",31.437027776,"element_wts_cp_km2_x_protection"
31,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
35,"mangrove",24.451021604,"element_wts_cp_km2_x_protection"
37,"mangrove",17.465015432,"element_wts_cp_km2_x_protection"
39,"mangrove",10.47900926,"element_wts_cp_km2_x_protection"
40,"mangrove",712.5726296,"element_wts_cp_km2_x_protection"
41,"mangrove",12145.171732,"element_wts_cp_km2_x_protection"
42,"mangrove",11079.805788,"element_wts_cp_km2_x_protection"
43,"mangrove",2186.619932,"element_wts_cp_km2_x_protection"
44,"mangrove",139.72012344,"element_wts_cp_km2_x_protection"
45,"mangrove",275.9472438,"element_wts_cp_km2_x_protection"
46,"mangrove",38.423033948,"element_wts_cp_km2_x_protection"
47,"mangrove",55.8880494,"element_wts_cp_km2_x_protection"
48,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
49,"mangrove",45.40904012,"element_wts_cp_km2_x_protection"
50,"mangrove",282.93325,"element_wts_cp_km2_x_protection"
52,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
53,"mangrove",3566.3561512,"element_wts_cp_km2_x_protection"
54,"mangrove",303.89126852,"element_wts_cp_km2_x_protection"
64,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
65,"mangrove",2469.553182,"element_wts_cp_km2_x_protection"
66,"mangrove",5190.602588,"element_wts_cp_km2_x_protection"
96,"mangrove",6165.150448,"element_wts_cp_km2_x_protection"
97,"mangrove",771.953682,"element_wts_cp_km2_x_protection"
99,"mangrove",118.76210492,"element_wts_cp_km2_x_protection"
100,"mangrove",80.339071,"element_wts_cp_km2_x_protection"
102,"mangrove",118.76210492,"element_wts_cp_km2_x_protection"
103,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
104,"mangrove",1019.9569012,"element_wts_cp_km2_x_protection"
106,"mangrove",719.5586356,"element_wts_cp_km2_x_protection"
110,"mangrove",5993.993296,"element_wts_cp_km2_x_protection"
111,"mangrove",586.8245184,"element_wts_cp_km2_x_protection"
112,"mangrove",14352.74968,"element_wts_cp_km2_x_protection"
113,"mangrove",167.66414816,"element_wts_cp_km2_x_protection"
114,"mangrove",572.852506,"element_wts_cp_km2_x_protection"
115,"mangrove",761.4746728,"element_wts_cp_km2_x_protection"
116,"mangrove",373.75133024,"element_wts_cp_km2_x_protection"
117,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
120,"mangrove",41.91603704,"element_wts_cp_km2_x_protection"
122,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
123,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
125,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
126,"mangrove",345.80730556,"element_wts_cp_km2_x_protection"
129,"mangrove",6228.024504,"element_wts_cp_km2_x_protection"
130,"mangrove",1488.0193148,"element_wts_cp_km2_x_protection"
131,"mangrove",3052.8846976,"element_wts_cp_km2_x_protection"
132,"mangrove",11355.753032,"element_wts_cp_km2_x_protection"
133,"mangrove",2417.1581356,"element_wts_cp_km2_x_protection"
134,"mangrove",1495.0053208,"element_wts_cp_km2_x_protection"
135,"mangrove",40232.40956,"element_wts_cp_km2_x_protection"
136,"mangrove",1058.3799352,"element_wts_cp_km2_x_protection"
137,"mangrove",6060.360356,"element_wts_cp_km2_x_protection"
138,"mangrove",209.58018516,"element_wts_cp_km2_x_protection"
139,"mangrove",11299.864984,"element_wts_cp_km2_x_protection"
140,"mangrove",213.07318828,"element_wts_cp_km2_x_protection"
147,"mangrove",13.972012344,"element_wts_cp_km2_x_protection"
151,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
152,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
155,"mangrove",55.8880494,"element_wts_cp_km2_x_protection"
162,"mangrove",1257.4811112,"element_wts_cp_km2_x_protection"
