rgn_id,year,health,habitat
5,2015,1,mangrove
6,2015,0.378408668,mangrove
7,2015,0.855901419,mangrove
8,2015,1,mangrove
9,2015,1,mangrove
11,2015,1,mangrove
14,2015,1,mangrove
15,2015,0.95406347,mangrove
16,2015,0.68201005,mangrove
17,2015,0.828386512,mangrove
18,2015,1,mangrove
24,2015,0.676003339,mangrove
26,2015,0.955817378,mangrove
28,2015,0.698600617,mangrove
29,2015,1,mangrove
31,2015,1,mangrove
35,2015,1,mangrove
37,2015,0.714285714,mangrove
39,2015,1,mangrove
40,2015,1,mangrove
41,2015,0.758914584,mangrove
42,2015,0.835674526,mangrove
43,2015,0.983404891,mangrove
44,2015,0.367684535,mangrove
45,2015,1,mangrove
46,2015,0.960575849,mangrove
47,2015,1,mangrove
48,2015,0.087325077,mangrove
49,2015,1,mangrove
50,2015,0.386725342,mangrove
52,2015,0.582167181,mangrove
53,2015,0.250585004,mangrove
54,2015,1,mangrove
64,2015,0.582167181,mangrove
65,2015,0.884414489,mangrove
66,2015,0.767323903,mangrove
96,2015,0.94615185,mangrove
97,2015,0.995415387,mangrove
98,2015,0,mangrove
99,2015,1,mangrove
100,2015,0.100423839,mangrove
102,2015,0.84830075,mangrove
103,2015,1,mangrove
104,2015,0.964827632,mangrove
106,2015,1,mangrove
110,2015,0.803875849,mangrove
111,2015,0.551332055,mangrove
112,2015,0.668343957,mangrove
113,2015,0.493129847,mangrove
114,2015,0.780038611,mangrove
115,2015,0.540704693,mangrove
116,2015,1,mangrove
117,2015,0.264621446,mangrove
120,2015,0.611831751,mangrove
122,2015,0.873250772,mangrove
125,2015,0.296017211,mangrove
126,2015,1,mangrove
129,2015,0.631185658,mangrove
130,2015,0.592267873,mangrove
131,2015,0.744881219,mangrove
132,2015,0.636679199,mangrove
133,2015,0.400263796,mangrove
134,2015,0.802193964,mangrove
135,2015,0.878456092,mangrove
136,2015,1,mangrove
137,2015,0.737746342,mangrove
138,2015,0.589181243,mangrove
139,2015,1,mangrove
140,2015,1,mangrove
147,2015,1,mangrove
151,2015,1,mangrove
152,2015,0.087325077,mangrove
154,2015,0,mangrove
155,2015,0.873250772,mangrove
162,2015,1,mangrove
163,2015,0.838955832,mangrove
164,2015,0.64409197,mangrove
166,2015,0.822311143,mangrove
167,2015,0.32339067,mangrove
168,2015,0.710750193,mangrove
169,2015,1,mangrove
171,2015,1,mangrove
190,2015,1,mangrove
191,2015,0.41916037,mangrove
193,2015,0.976079214,mangrove
194,2015,0.741329198,mangrove
195,2015,0.185059766,mangrove
196,2015,0.855156386,mangrove
197,2015,0.734236954,mangrove
198,2015,0.822494319,mangrove
199,2015,0.359170647,mangrove
200,2015,0.553608036,mangrove
202,2015,0.716410337,mangrove
203,2015,0.694361034,mangrove
204,2015,1,mangrove
205,2015,0.953580411,mangrove
206,2015,0.777115449,mangrove
207,2015,0.702104652,mangrove
208,2015,0.390279674,mangrove
209,2015,0.611022439,mangrove
210,2015,1,mangrove
212,2015,1,mangrove
214,2015,0.523950463,mangrove
216,2015,0.696999658,mangrove
231,2015,1,mangrove
237,2015,1,mangrove
245,2015,0.5,mangrove
247,2015,0.579003229,mangrove
250,2015,0.415833701,mangrove
5,2016,1,mangrove
6,2016,0.378408668,mangrove
7,2016,0.857347198,mangrove
8,2016,1,mangrove
9,2016,1,mangrove
11,2016,1,mangrove
14,2016,1,mangrove
15,2016,0.949031178,mangrove
16,2016,0.679494513,mangrove
17,2016,0.827104676,mangrove
18,2016,1,mangrove
24,2016,0.671215779,mangrove
26,2016,0.979381443,mangrove
28,2016,0.698600617,mangrove
29,2016,1,mangrove
31,2016,1,mangrove
35,2016,1,mangrove
37,2016,0.714285714,mangrove
39,2016,1,mangrove
40,2016,1,mangrove
41,2016,0.760650237,mangrove
42,2016,0.833822176,mangrove
43,2016,0.978615581,mangrove
44,2016,0.367684535,mangrove
45,2016,1,mangrove
46,2016,1,mangrove
47,2016,1,mangrove
48,2016,0.087325077,mangrove
49,2016,1,mangrove
50,2016,0.336825298,mangrove
52,2016,0.582167181,mangrove
53,2016,0.260203418,mangrove
54,2016,1,mangrove
64,2016,0.582167181,mangrove
65,2016,0.874491185,mangrove
66,2016,0.763706888,mangrove
96,2016,0.939382464,mangrove
97,2016,0.986366156,mangrove
98,2016,0,mangrove
99,2016,1,mangrove
100,2016,0.100423839,mangrove
102,2016,0.873250772,mangrove
103,2016,1,mangrove
104,2016,0.964827632,mangrove
106,2016,1,mangrove
110,2016,0.80339071,mangrove
111,2016,0.54763184,mangrove
112,2016,0.659406705,mangrove
113,2016,0.482856309,mangrove
114,2016,0.784944514,mangrove
115,2016,0.540704693,mangrove
116,2016,1,mangrove
117,2016,0.132310723,mangrove
120,2016,0.667452819,mangrove
122,2016,0.873250772,mangrove
125,2016,0.296017211,mangrove
126,2016,1,mangrove
129,2016,0.628041955,mangrove
130,2016,0.597777342,mangrove
131,2016,0.741503073,mangrove
132,2016,0.636679199,mangrove
133,2016,0.401981667,mangrove
134,2016,0.798454132,mangrove
135,2016,0.878378401,mangrove
136,2016,1,mangrove
137,2016,0.737316169,mangrove
138,2016,0.57866015,mangrove
139,2016,1,mangrove
140,2016,1,mangrove
147,2016,1,mangrove
151,2016,1,mangrove
152,2016,0.087325077,mangrove
154,2016,0,mangrove
155,2016,0.873250772,mangrove
162,2016,1,mangrove
163,2016,0.835780375,mangrove
164,2016,0.632967757,mangrove
166,2016,0.778648605,mangrove
167,2016,0.3310676,mangrove
